id,diet_type,b1_approach,b2_wag,b3_jump,b4_lick_lips,b5_salivate,b6_bark,b7_eat_fast,b8_sniff,b9_stay_bowl,b10_guard,health_opinion,vet_visits,medication,disease_allergy,disease_behaviour,disease_weight,disease_dental,disease_gi,disease_skin,species,age,sex_neuter,breed_size,activity,diet
587958-587949-58308903,Vegan (consuming no animal products),4.0,5.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,Generally healthy with minor or infrequent problems,3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58309375,Vegan (consuming no animal products),4.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,1.0,Healthy,1,No,0.0,0.0,1.0,0.0,0.0,0.0,Dog,9,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Vegan
587958-587949-58310020,Meat-based – conventional,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,9,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58310021,Vegan (consuming no animal products),3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,5,"Female, sexually intact",Toy (≤ 4.1 kg or ≤ 9 lb),0 – 30 mins,Vegan
587958-587949-58312113,Vegan (consuming no animal products),1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,12,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),0 – 30 mins,Vegan
587958-587949-58313195,Vegan (consuming no animal products),3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,Healthy,>3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,1,"Female, spayed",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Vegan
587958-587949-58313242,Vegan (consuming no animal products),4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Vegan
587958-587949-58313751,Meat-based – conventional,5.0,5.0,2.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,Generally healthy with minor or infrequent problems,1,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,14,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Conventional
587958-587949-58314273,Meat-based – conventional,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,3,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58314965,Meat-based – conventional,5.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,1.0,Generally healthy with minor or infrequent problems,Unsure,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,12,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58316428,Meat-based – conventional,5.0,5.0,2.0,1.0,2.0,4.0,5.0,2.0,,4.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58317167,Meat-based – conventional,1.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Conventional
587958-587949-58317663,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,,2.0,4.0,1.0,2.0,2.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,8,"Male, sexually intact",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Vegan
587958-587949-58318743,Meat-based – conventional,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,5,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58319429,Meat-based – conventional,2.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,1.0,Generally healthy with minor or infrequent problems,>3,Yes,0.0,0.0,0.0,0.0,0.0,1.0,Dog,2,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Conventional
587958-587949-58320329,Vegan (consuming no animal products),5.0,5.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,3.0,Significant or frequent problems,>3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),30 – 60 mins,Vegan
587958-587949-58319847,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,,1.0,5.0,1.0,4.0,4.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,15,"Female, sexually intact",Small (4.5–10.9 kg or 10–24 lb),30 – 60 mins,Vegan
587958-587949-58321832,Meat-based – conventional,4.0,4.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,Seriously ill,>3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Male, castrated",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58322708,Vegan (consuming no animal products),4.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,8,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),30 – 60 mins,Vegan
587958-587949-58327775,Vegan (consuming no animal products),4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,Healthy,1,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,9,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58330558,Vegan (consuming no animal products),5.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,5.0,4.0,Generally healthy with minor or infrequent problems,>3,Yes,0.0,0.0,0.0,1.0,0.0,0.0,Dog,9,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Vegan
587958-587949-58332245,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,1.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),0 – 30 mins,Vegan
587958-587949-58333872,Meat-based – conventional,5.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,Generally healthy with minor or infrequent problems,>3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,11,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Conventional
587958-587949-58334821,Vegan (consuming no animal products),4.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,Generally healthy with minor or infrequent problems,2,Yes,0.0,0.0,0.0,1.0,0.0,0.0,Dog,15,"Female, spayed",Small (4.5–10.9 kg or 10–24 lb),0 – 30 mins,Vegan
587958-587949-58335470,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,4.0,2.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,3,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Vegan
587958-587949-58335480,Meat-based – raw,5.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,4.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,1.0,0.0,0.0,0.0,Dog,3,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Raw
587958-587949-58336561,Meat-based – conventional,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),0 – 30 mins,Conventional
587958-587949-58339806,Meat-based – conventional,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,Generally healthy with minor or infrequent problems,2,Yes,0.0,0.0,0.0,1.0,0.0,0.0,Dog,9,"Female, spayed",Small (4.5–10.9 kg or 10–24 lb),30 – 60 mins,Conventional
587958-587949-58339775,Meat-based – conventional,4.0,4.0,5.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,Generally healthy with minor or infrequent problems,2,Yes,0.0,0.0,0.0,0.0,1.0,0.0,Dog,9,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58341268,Meat-based – conventional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,Healthy,>3,Yes,0.0,0.0,0.0,1.0,0.0,0.0,Dog,11,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),> 3 hrs,Conventional
587958-587949-58341679,Meat-based – raw,3.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,Generally healthy with minor or infrequent problems,3,Yes,0.0,0.0,0.0,0.0,1.0,0.0,Dog,11,"Male, castrated",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Raw
587958-587949-58342855,Vegan (consuming no animal products),5.0,5.0,2.0,5.0,5.0,2.0,5.0,4.0,5.0,3.0,Healthy,2,Yes,0.0,0.0,0.0,0.0,1.0,0.0,Dog,3,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Vegan
587958-587949-58344215,Meat-based – conventional,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,Healthy,1,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58344317,Meat-based – conventional,4.0,4.0,4.0,2.0,1.0,4.0,3.0,5.0,4.0,2.0,Generally healthy with minor or infrequent problems,3,Yes,0.0,0.0,0.0,1.0,0.0,0.0,Dog,5,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Conventional
587958-587949-58344700,Meat-based – raw,5.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Raw
587958-587949-58345269,Meat-based – conventional,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,Generally healthy with minor or infrequent problems,3,No,0.0,0.0,1.0,1.0,0.0,0.0,Dog,11,"Female, spayed",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Conventional
587958-587949-58345827,Meat-based – conventional,5.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,2.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Female, spayed",Small (4.5–10.9 kg or 10–24 lb),> 3 hrs,Conventional
587958-587949-58346756,Meat-based – conventional,3.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,Generally healthy with minor or infrequent problems,>3,Yes,0.0,0.0,0.0,0.0,1.0,1.0,Dog,9,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),> 3 hrs,Conventional
587958-587949-58346930,Meat-based – conventional,4.0,5.0,3.0,5.0,3.0,1.0,4.0,5.0,5.0,1.0,Significant or frequent problems,2,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Conventional
587958-587949-58350814,Meat-based – conventional,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,Seriously ill,>3,Yes,0.0,0.0,0.0,0.0,0.0,1.0,Dog,8,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Conventional
587958-587949-58350932,Meat-based – conventional,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,Generally healthy with minor or infrequent problems,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,16,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Conventional
587958-587949-58350916,Meat-based – conventional,,,,,,,,,,,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Conventional
587958-587949-58353421,Vegan (consuming no animal products),,,1.0,,,1.0,,,,,Healthy,>3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,8,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58353596,Meat-based – conventional,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,Generally healthy with minor or infrequent problems,1,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,11,"Female, spayed",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Conventional
587958-587949-58354389,Meat-based – conventional,5.0,5.0,2.0,2.0,3.0,1.0,5.0,2.0,5.0,3.0,Generally healthy with minor or infrequent problems,2,Yes,0.0,0.0,0.0,0.0,1.0,0.0,Dog,6,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Conventional
587958-587949-58354685,Meat-based – conventional,2.0,4.0,1.0,,,1.0,1.0,5.0,3.0,1.0,Generally healthy with minor or infrequent problems,>3,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,11,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58356796,Meat-based – conventional,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,1.0,Generally healthy with minor or infrequent problems,2,Yes,0.0,0.0,0.0,0.0,1.0,0.0,Dog,2,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58360211,Vegan (consuming no animal products),4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,Generally healthy with minor or infrequent problems,>3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Female, spayed",Toy (≤ 4.1 kg or ≤ 9 lb),30 – 60 mins,Vegan
587958-587949-58360192,Meat-based – conventional,5.0,1.0,4.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,9,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58361101,Meat-based – conventional,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58362340,Vegan (consuming no animal products),3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,4,"Male, castrated",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Vegan
587958-587949-58385046,Meat-based – conventional,5.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,Healthy,3,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,1,"Male, sexually intact",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Conventional
587958-587949-58387467,Vegan (consuming no animal products),4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,Generally healthy with minor or infrequent problems,1,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),30 – 60 mins,Vegan
587958-587949-58391400,Vegan (consuming no animal products),4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,3,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Vegan
587958-587949-58398936,Meat-based – conventional,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,3,"Male, sexually intact",Giant (> 40.9 kg or > 90 lb),1 – 3 hrs,Conventional
587958-587949-58421768,Vegan (consuming no animal products),2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,12,"Female, spayed",Toy (≤ 4.1 kg or ≤ 9 lb),0 – 30 mins,Vegan
587958-587949-58424966,Meat-based – conventional,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Generally healthy with minor or infrequent problems,3,Yes,0.0,1.0,0.0,0.0,1.0,0.0,Dog,13,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58432524,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,Generally healthy with minor or infrequent problems,1,Yes,0.0,0.0,0.0,0.0,0.0,1.0,Dog,5,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Vegan
587958-587949-58433345,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,Healthy,3,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,1,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Vegan
587958-587949-58471778,Vegan (consuming no animal products),3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,9,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58474829,Meat-based – conventional,,,,,,,,,,,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,2,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58477331,Meat-based – raw,5.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,8,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),> 3 hrs,Raw
587958-587949-58481452,Meat-based – conventional,5.0,5.0,2.0,5.0,5.0,2.0,5.0,2.0,2.0,2.0,Generally healthy with minor or infrequent problems,3,Yes,0.0,1.0,0.0,0.0,1.0,0.0,Dog,6,"Male, castrated",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58501772,Vegan (consuming no animal products),3.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Female, sexually intact",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58502316,Meat-based – conventional,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,4,"Female, sexually intact",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58527643,Vegan (consuming no animal products),5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,Healthy,2,No,0.0,0.0,0.0,0.0,1.0,0.0,Dog,3,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58528710,Meat-based – raw,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,Generally healthy with minor or infrequent problems,3,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,1,"Female, sexually intact",Large (22.7–40.5 kg or 50–89 lb),> 3 hrs,Raw
587958-587949-58591680,Vegan (consuming no animal products),3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,4,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Vegan
587958-587949-58631997,Meat-based – conventional,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,Generally healthy with minor or infrequent problems,2,No,0.0,0.0,0.0,0.0,1.0,0.0,Dog,9,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),30 – 60 mins,Conventional
587958-587949-58648764,Vegan (consuming no animal products),2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,2,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Vegan
587958-587949-58649338,Meat-based – conventional,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Male, sexually intact",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Conventional
587958-587949-58655887,Meat-based – conventional,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,11,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58656451,Meat-based – conventional,4.0,1.0,2.0,4.0,3.0,1.0,5.0,5.0,2.0,2.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,11,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58658954,Meat-based – conventional,5.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,Healthy,1,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,8,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58666523,Meat-based – raw,1.0,5.0,4.0,4.0,,5.0,1.0,5.0,5.0,5.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,11,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Raw
587958-587949-58697279,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,Healthy,3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,4,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58738026,Meat-based – conventional,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,Healthy,3,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,16,"Male, sexually intact",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58753886,Meat-based – conventional,5.0,5.0,1.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,Generally healthy with minor or infrequent problems,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,4,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58760723,Vegan (consuming no animal products),5.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,0.0,1.0,0.0,0.0,Dog,11,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),30 – 60 mins,Vegan
587958-587949-58789774,Meat-based – conventional,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Female, sexually intact",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Conventional
587958-587949-58796822,Meat-based – conventional,5.0,4.0,3.0,5.0,5.0,1.0,4.0,2.0,4.0,1.0,Healthy,2,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
